Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,31,24,7,.774,10.20,2.49,12,4,16,0,6,5,1990,1695,.331,.484,.609,45.7,65.2,9.2,.581,17.1,.246
2,Akron,33,23,10,.697,5.00,0.13,14,4,13,0,7,8,2407,2180,.374,.395,.560,50.7,64.8,9.2,.525,16.2,.269
3,Alabama A&M,26,13,13,.500,-9.12,-10.43,11,7,9,3,4,9,1917,1872,.407,.316,.500,48.3,48.4,14.3,.466,18.3,.262
4,Alabama-Birmingham,31,24,7,.774,9.64,1.57,12,2,14,1,7,5,2306,2035,.374,.356,.539,44.2,58.6,9.5,.514,15.7,.242
5,Alabama State,30,12,18,.400,-12.98,-8.58,10,8,7,4,4,12,1985,2117,.409,.332,.493,50.2,44.7,7.4,.460,19.3,.257
6,Alabama,31,18,13,.581,10.79,8.08,10,6,14,4,3,7,2178,2094,.415,.304,.547,53.2,50.0,13.1,.508,17.6,.294
7,Albany (NY),32,21,11,.656,-0.44,-4.25,13,3,10,3,8,7,2194,2065,.411,.355,.553,51.7,54.2,7.6,.515,18.7,.292
8,Alcorn State,28,8,20,.286,-15.11,-8.03,8,10,5,4,3,15,1848,2046,.369,.341,.509,49.0,51.7,8.3,.477,22.2,.242
9,American,29,12,17,.414,-8.49,-4.32,7,7,7,4,4,12,1850,1971,.345,.309,.505,50.9,57.9,8.2,.469,20.0,.238
10,Appalachian State,30,14,16,.467,-7.61,-4.79,6,8,8,4,4,10,2100,2113,.323,.413,.535,48.5,58.4,11.2,.502,19.0,.228
11,Arizona State,28,11,17,.393,4.36,7.18,5,13,8,9,3,7,1878,1958,.374,.275,.525,50.1,61.5,8.2,.483,19.3,.270
12,Arizona,33,20,13,.606,15.12,10.09,11,7,12,2,4,7,2433,2267,.327,.218,.517,49.8,54.1,7.9,.481,15.8,.232
13,Arkansas-Little Rock,29,14,15,.483,-4.67,-3.14,5,9,9,6,3,7,1861,1899,.440,.254,.499,52.7,64.8,6.6,.454,19.6,.300
14,Arkansas-Pine Bluff,29,13,16,.448,-12.48,-10.81,8,10,5,5,6,10,1829,1851,.316,.280,.487,47.3,49.4,10.9,.452,20.2,.215
15,Arkansas State,30,12,18,.400,-5.49,-1.45,7,7,8,5,2,12,2189,2259,.395,.285,.545,49.6,51.5,6.5,.518,18.9,.260
16,Arkansas,32,22,10,.688,15.01,6.17,10,6,15,1,3,5,2359,2076,.392,.290,.541,50.2,58.9,14.9,.507,16.6,.271
17,Army,27,5,22,.185,-19.89,-5.69,1,13,2,11,3,11,1491,1790,.314,.329,.491,47.0,56.1,5.0,.456,22.0,.216
18,Auburn,28,12,16,.429,4.92,7.06,4,12,11,5,1,10,1836,1896,.351,.361,.522,49.1,57.8,12.2,.498,20.4,.221
19,Austin Peay,31,17,14,.548,-5.68,-6.29,11,9,11,2,4,12,2228,2209,.421,.302,.553,48.9,56.9,7.9,.506,18.3,.314
20,Ball State,28,10,18,.357,-3.53,-0.60,6,12,6,8,4,10,1779,1821,.375,.290,.509,50.8,51.9,9.5,.476,18.7,.248
21,Baylor,17,4,13,.235,2.30,11.65,4,12,4,4,0,8,1074,1233,.323,.390,.504,44.8,50.7,12.8,.470,19.7,.223
22,Belmont,31,20,11,.645,-3.53,-6.72,15,5,10,2,7,8,2499,2356,.353,.380,.588,50.3,57.7,9.8,.565,19.3,.244
23,Bethune-Cookman,30,15,15,.500,-13.66,-10.49,11,7,8,3,5,11,1962,2057,.367,.315,.499,47.0,52.3,5.2,.473,19.1,.226
24,Binghamton,29,16,13,.552,-4.73,-5.52,12,4,8,6,7,7,1812,1783,.336,.366,.485,48.3,47.6,4.8,.438,15.7,.249
25,Birmingham-Southern,28,19,9,.679,-5.81,-8.12,12,4,11,2,6,7,1922,1794,.427,.409,.567,53.4,56.0,6.0,.537,17.3,.291
26,Boise State,29,14,15,.483,0.83,1.09,6,10,10,5,3,9,2095,2049,.315,.374,.541,49.2,55.5,5.7,.510,18.8,.224
27,Boston College,36,28,8,.778,13.79,6.10,11,5,14,2,9,3,2671,2383,.425,.299,.567,52.8,67.3,11.7,.539,16.9,.287
28,Boston University,28,12,16,.429,-4.45,-3.77,9,7,6,5,5,9,1650,1669,.327,.310,.493,51.6,63.6,8.4,.461,18.5,.217
29,Bowling Green State,30,9,21,.300,-7.83,0.38,5,13,5,8,4,10,1978,2142,.392,.366,.545,45.1,61.7,5.1,.505,21.6,.282
30,Bradley,33,22,11,.667,11.78,5.38,11,7,13,1,5,8,2359,2148,.345,.285,.524,52.0,62.9,10.9,.487,18.3,.247
31,Brigham Young,29,20,9,.690,7.19,3.19,12,4,14,1,4,7,2209,2078,.366,.308,.556,51.3,59.1,9.2,.522,17.8,.262
32,Brown,27,10,17,.370,-11.37,-6.66,6,8,4,8,6,7,1613,1740,.449,.359,.505,49.5,62.0,9.5,.464,21.6,.296
33,Bucknell,32,27,5,.844,7.29,-2.29,14,0,14,1,11,3,2114,1785,.429,.322,.563,52.4,62.9,5.2,.528,20.4,.299
34,Buffalo,32,19,13,.594,-0.10,-1.22,8,10,12,3,5,9,2317,2247,.439,.325,.548,51.7,53.5,6.0,.498,20.0,.330
35,Butler,33,20,13,.606,6.22,0.44,11,5,12,1,5,10,2254,2032,.317,.456,.567,43.6,55.6,8.0,.541,12.9,.224
36,Cal Poly,29,10,19,.345,-6.00,-0.56,7,7,6,7,3,11,1907,2052,.336,.401,.522,51.2,50.4,6.4,.489,19.5,.233
37,Cal State Fullerton,29,16,13,.552,-2.24,-3.07,5,9,7,5,7,6,2293,2183,.325,.318,.549,53.0,51.5,5.3,.526,17.5,.217
38,Cal State Northridge,28,11,17,.393,-8.67,-1.46,4,10,6,6,4,9,1986,2072,.437,.288,.534,49.5,58.2,7.7,.484,21.1,.321
39,California-Irvine,29,16,13,.552,2.45,-1.87,10,4,7,6,8,4,2068,1967,.324,.388,.586,51.5,60.6,8.4,.556,18.6,.240
40,California-Riverside,28,5,23,.179,-13.83,-0.75,3,11,3,10,2,11,1885,2215,.296,.301,.479,48.4,46.7,6.6,.444,20.4,.204
41,California-Santa Barbara,29,15,14,.517,-2.07,-1.34,6,8,9,4,5,9,1930,1915,.375,.313,.533,49.7,52.9,8.8,.495,17.8,.266
