Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,29,13,16,.448,-0.45,2.14,3,11,9,7,2,7,1786,1798,62.9,97.1,.388,.411,.545,45.7,65.4,10.5,11.1,.515,18.6,20.4,.262
2,Akron,34,22,12,.647,6.33,0.72,13,3,13,2,8,8,2456,2241,67.5,106.2,.394,.298,.550,51.7,54.7,10.7,10.7,.517,17.9,35.2,.273
3,Alabama A&M,28,7,21,.250,-19.33,-10.79,5,13,6,5,1,15,1764,1964,68.7,90.8,.361,.305,.490,48.7,49.9,9.2,11.1,.457,20.6,31.1,.233
4,Alabama-Birmingham,31,15,16,.484,2.61,3.64,9,7,8,7,5,7,1875,1907,62.0,97.2,.363,.334,.513,52.3,53.8,7.1,10.6,.477,19.5,34.8,.249
5,Alabama State,31,12,19,.387,-15.79,-9.96,9,9,7,4,4,14,1840,1995,65.6,88.7,.354,.362,.460,48.8,55.1,11.4,8.7,.433,19.2,33.0,.207
6,Alabama,33,21,12,.636,13.76,7.18,9,7,12,3,4,6,2135,1918,62.9,102.2,.362,.273,.529,51.9,51.7,11.4,10.9,.491,17.5,33.5,.257
7,Albany (NY),34,19,15,.559,-3.92,-6.92,9,7,10,4,6,10,2453,2351,65.7,109.4,.367,.356,.553,51.4,50.4,8.6,7.8,.511,16.4,35.2,.277
8,Alcorn State,32,10,22,.313,-19.57,-10.61,6,12,7,5,2,14,1926,2148,68.6,89.8,.363,.252,.492,45.5,42.1,9.3,8.3,.451,19.8,28.0,.252
9,American,32,20,12,.625,-3.12,-5.24,10,4,13,2,7,10,2059,1991,62.9,102.0,.338,.343,.529,48.9,56.7,7.2,8.3,.493,15.6,27.1,.242
10,Appalachian State,31,13,18,.419,-6.93,-3.28,7,11,9,5,3,11,2121,2175,68.0,100.2,.387,.349,.529,49.9,50.8,8.8,11.3,.501,18.3,31.0,.252
11,Arizona State,31,10,21,.323,-1.01,4.31,6,12,7,10,2,7,1891,2056,63.4,96.3,.413,.345,.549,51.2,57.6,8.8,13.1,.517,22.9,29.6,.279
12,Arizona,35,23,12,.657,10.91,4.62,12,6,14,4,6,4,2416,2196,65.1,105.2,.445,.377,.550,51.3,59.5,8.5,10.8,.510,16.8,30.6,.313
13,Arkansas-Little Rock,31,15,16,.484,-1.94,0.03,12,4,9,6,6,8,1974,1990,65.2,96.2,.406,.297,.500,48.1,48.2,9.6,8.1,.455,16.6,27.8,.283
14,Arkansas-Pine Bluff,33,11,22,.333,-16.77,-8.34,9,9,6,3,3,15,2013,2291,66.3,91.7,.421,.284,.491,48.1,52.1,10.5,10.8,.455,19.5,31.5,.268
15,Arkansas State,34,14,20,.412,-3.18,-0.52,6,10,10,5,2,14,2198,2239,64.1,100.0,.416,.269,.518,51.9,43.0,9.6,6.0,.482,18.0,34.6,.278
16,Arkansas,32,18,14,.563,5.76,3.63,6,10,17,3,1,9,2299,2231,70.2,102.4,.372,.312,.525,47.3,53.6,11.8,12.4,.490,16.1,31.5,.257
17,Army,30,12,18,.400,-11.26,-7.16,5,9,9,6,3,11,2027,2091,69.4,96.1,.371,.417,.536,47.1,59.4,8.8,5.8,.496,20.0,24.3,.269
18,Auburn,31,15,16,.484,2.52,3.84,5,11,14,3,1,10,1942,1983,64.9,95.4,.364,.310,.496,49.3,55.5,9.8,12.9,.464,17.8,31.4,.236
19,Austin Peay,32,12,20,.375,-4.86,-0.66,8,8,8,5,4,12,2216,2324,68.2,100.7,.413,.243,.520,48.8,49.0,10.5,8.5,.484,18.1,34.4,.277
20,Ball State,30,15,15,.500,-2.93,-4.45,6,10,10,5,5,9,1901,1822,62.5,101.4,.393,.378,.521,51.0,61.8,9.7,8.3,.483,17.7,34.4,.271
21,Baylor,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,67.1,111.0,.353,.315,.566,54.0,56.8,11.2,12.1,.528,17.4,38.4,.266
22,Belmont,35,27,8,.771,11.81,-1.22,16,2,13,1,10,6,2831,2363,68.7,116.9,.385,.403,.591,51.8,62.2,10.5,6.5,.558,15.4,34.4,.282
23,Bethune-Cookman,35,18,17,.514,-9.11,-7.05,11,5,9,3,5,12,2276,2319,64.9,99.9,.371,.276,.512,48.1,50.9,10.6,6.9,.480,17.6,34.6,.244
